iso3c,country,year,median_age,total,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75+
GBR,United Kingdom,2020,42.5,67886004,3924490,4119566,3956340,3686133,4074640,4484067,4706828,4588196,4308130,4296121,4634540,4538925,3905016,3381761,3388488,5892763
TZA,United Republic of Tanzania,2020,17.5,59734213,9738602,8623714,7654580,6434462,5262555,4583694,3902890,3259038,2684793,2135934,1660783,1265852,948189,674611,472213,432303
USA,United States of America,2020,37.5,331002647,19676332,20045152,21089487,21242908,22258745,23835330,23052479,21615791,20294599,20053798,20577807,21542270,20669143,17819027,14354863,22874916
VIR,United States Virgin Islands,2020,42.5,104423,5970,6898,7242,6776,6484,6247,4688,5043,5541,6225,7085,7364,7458,6563,6347,8492
URY,Uruguay,2020,37.5,3473727,236656,236414,233314,245615,254065,257495,239616,221530,234364,220656,196341,194736,178824,149097,123811,251193
UZB,Uzbekistan,2020,27.5,33469199,3431637,3282087,2925422,2535432,2782336,3164651,3030397,2546798,2105400,1825100,1568642,1500119,1168385,771243,343946,487604
VUT,Vanuatu,2020,22.5,307150,42080,38805,37092,29834,25909,24859,22997,18006,16116,13076,11562,8983,6750,4687,3149,3245
VEN,Venezuela,2020,27.5,28435943,2363409,2731190,2657796,2500772,2101628,2028711,2064324,1963597,1867720,1697254,1599831,1415152,1177441,865114,603581,798423
VNM,Vietnam,2020,32.5,97338583,7892471,7586101,7098174,6500869,6820203,8569293,8437027,7763897,7033826,6539136,5868357,5241611,4330954,3011733,1651958,2992973
ESH,Western Sahara,2020,27.5,597330,56470,56124,49832,48537,50165,54820,56162,52553,45719,37075,29218,22733,17632,10742,5094,4454
YEM,Yemen,2020,22.5,29825968,4115306,3918102,3548681,3201593,2925246,2807500,2329316,1811122,1362091,1000713,773313,649522,509267,370183,258978,245035
ZMB,Zambia,2020,17.5,18383956,2946454,2717088,2428598,2121583,1746939,1433444,1193475,991719,808231,605658,433597,327662,237554,166281,112763,112910
ZWE,Zimbabwe,2020,17.5,14862927,2097448,2210712,1921060,1638895,1377829,1105162,994874,872602,737527,520295,389420,308669,240442,184973,114658,148361
